,0
 ,1
ไม่,2
ก็,3
จะ,4
เลย,5
ได้,6
มี,7
ไป,8
นะ,9
คน,10
มา,11
ที่,12
แล้ว,13
มึง,14
เป็น,15
ว่า,16
กู,17
ๆ,18
มัน,19
เขา,20
ให้,21
นี่,22
ดู,23
ยัง,24
หรอ,25
อยาก,26
แต่,27
ทำ,28
มาก,29
นี้,30
แบบ,31
ตัวเอง,32
คือ,33
อยู่,34
เอา,35
รู้,36
แบบนี้,37
กับ,38
อี,39
นั้น,40
อะไร,41
ใน,42
คิด,43
ดี,44
ต้อง,45
ค่ะ,46
ของ,47
ใคร,48
และ,49
เรา,50
คุณ,51
ถ้า,52
ตบ,53
กัน,54
ชอบ,55
เห็น,56
อีก,57
จ้า,58
อ่ะ,59
พวก,60
ขนาด,61
อย่า,62
เพราะ,63
เธอ,64
บ้าง,65
บอก,66
ครับ,67
โง่,68
เรื่อง,69
หน้า,70
แค่,71
สิ,72
ทำไม,73
หรือ,74
ตาย,75
จริงๆ,76
เจอ,77
นะคะ,78
ขอ,79
เด็ก,80
พูด,81
ควาย,82
สมอง,83
เหมือน,84
เคย,85
คะ,86
ไหน,87
​,88
กว่า,89
คนอื่น,90
อย่าง,91
ไง,92
นม,93
ใช่,94
พอ,95
พี่,96
มั้ย,97
ผู้หญิง,98
แม่,99
ด้วย,100
จริง,101
การ,102
น้อง,103
ตัว,104
กิน,105
เอง,106
นั่น,107
ไว้,108
ผู้ชาย,109
สวย,110
บ้าน,111
เค้า,112
#,113
เหี้ย,114
เพื่อน,115
หน่อย,116
ทำให้,117
อะ,118
ตอน,119
รู้จัก,120
ละ,121
นาง,122
ไหม,123
ถึง,124
ฉัน,125
หมด,126
หรอก,127
เหยียด,128
เก่ง,129
ก่อน,130
จาก,131
ด่า,132
จับ,133
ต่อย,134
ล่ะ,135
ใหญ่,136
ยังไง,137
มอง,138
ไร,139
บางคน,140
น่า,141
ป่าว,142
แน่,143
ถาม,144
ปาก,145
เรียก,146
เยอะ,147
สุด,148
สิ่ง,149
ลง,150
งง,151
ใช้,152
สัตว์,153
ควร,154
นั่ง,155
ประจาน,156
เดี๋ยว,157
จัด,158
คง,159
ครู,160
โต,161
ดิ,162
ฉลาด,163
จัง,164
สลิ่ม,165
ความ,166
โดน,167
ไอ,168
อ้วน,169
เล่น,170
ก้,171
ใส่,172
ออก,173
?,174
เข้าใจ,175
ประเทศ,176
ป่ะ,177
เนี่ย,178
แก,179
ผัว,180
ไหว,181
!,182
ทุกคน,183
โทษ,184
ป่วย,185
ง,186
แค่นี้,187
ทำตัว,188
ทาง,189
..,190
ทั้ง,191
ผิด,192
ผม,193
ดำ,194
แฟน,195
อาจารย์,196
เรียน,197
เหมือนกัน,198
กระ,199
ถูก,200
วันนี้,201
กลัว,202
พ่อ,203
ร่าน,204
เข้ามา,205
ความคิด,206
